url_path,views_total,views_unique
/antonioscalaunina/ANTI-FASc/blob/main/Example1_Tohoku.md,10,5
/antonioscalaunina/ANTI-FASc/blob/main/config_files/Parameters/scaling_relationship.json,10,2
/antonioscalaunina/ANTI-FASc/blob/github-repo-stats/antonioscalaunina/ANTI-FASc/latest-report/report.pdf,8,2
/antonioscalaunina/ANTI-FASc/tree/github-repo-stats/antonioscalaunina/ANTI-FASc,7,2
/antonioscalaunina/ANTI-FASc/tree/main/preprocess,7,2
/antonioscalaunina/ANTI-FASc,6,5
/antonioscalaunina/ANTI-FASc/tree/github-repo-stats/antonioscalaunina/ANTI-FASc/latest-report,6,2
/antonioscalaunina/ANTI-FASc/tree/github-repo-stats/utils,6,1
/antonioscalaunina/ANTI-FASc/tree/main/config_files/Parameters,6,1
/antonioscalaunina/ANTI-FASc/tree/main/config_files,4,1
